official_date,game_datetime,game_pk,home_team_id,away_team_id,home_team_name,away_team_name,home_games_played,home_season_win_pct,home_season_runs_scored_avg,home_season_runs_allowed_avg,home_season_run_diff_avg,home_season_batting_home_runs_avg,home_season_batting_walks_avg,home_season_batting_strikeouts_avg,home_season_batting_ops_avg,home_season_stolen_bases_avg,home_season_pitching_era,home_season_pitching_whip,home_season_pitching_k9,home_season_pitching_bb9,home_season_errors_avg,home_venue_split_win_pct,home_venue_split_run_diff_avg,home_last3_win_pct,home_last5_win_pct,home_last10_win_pct,home_last3_runs_scored_avg,home_last3_runs_allowed_avg,home_last5_runs_scored_avg,home_last5_runs_allowed_avg,home_last10_runs_scored_avg,home_last10_runs_allowed_avg,home_last5_batting_ops_avg,home_last5_home_runs_avg,home_last5_walks_avg,home_last5_strikeouts_avg,home_last5_pitching_era,home_last5_pitching_whip,home_bullpen_last3_outs_avg,home_bullpen_last3_pitches_avg,home_bullpen_last3_era,home_days_since_last_game,home_lineup_confirmed,home_lineup_batters,home_lineup_unavailable_regulars,home_lineup_avg_ops,home_lineup_avg_obp,home_lineup_avg_slg,home_lineup_avg_plate_appearances,home_lineup_avg_starts,away_games_played,away_season_win_pct,away_season_runs_scored_avg,away_season_runs_allowed_avg,away_season_run_diff_avg,away_season_batting_home_runs_avg,away_season_batting_walks_avg,away_season_batting_strikeouts_avg,away_season_batting_ops_avg,away_season_stolen_bases_avg,away_season_pitching_era,away_season_pitching_whip,away_season_pitching_k9,away_season_pitching_bb9,away_season_errors_avg,away_venue_split_win_pct,away_venue_split_run_diff_avg,away_last3_win_pct,away_last5_win_pct,away_last10_win_pct,away_last3_runs_scored_avg,away_last3_runs_allowed_avg,away_last5_runs_scored_avg,away_last5_runs_allowed_avg,away_last10_runs_scored_avg,away_last10_runs_allowed_avg,away_last5_batting_ops_avg,away_last5_home_runs_avg,away_last5_walks_avg,away_last5_strikeouts_avg,away_last5_pitching_era,away_last5_pitching_whip,away_bullpen_last3_outs_avg,away_bullpen_last3_pitches_avg,away_bullpen_last3_era,away_days_since_last_game,away_lineup_confirmed,away_lineup_batters,away_lineup_unavailable_regulars,away_lineup_avg_ops,away_lineup_avg_obp,away_lineup_avg_slg,away_lineup_avg_plate_appearances,away_lineup_avg_starts,home_pitcher_starts,home_pitcher_era,home_pitcher_whip,home_pitcher_k9,home_pitcher_bb9,home_pitcher_innings_per_start,home_pitcher_pitches_per_start,home_pitcher_last3_era,home_pitcher_last3_whip,home_pitcher_last3_k9,home_pitcher_days_since_last_start,away_pitcher_starts,away_pitcher_era,away_pitcher_whip,away_pitcher_k9,away_pitcher_bb9,away_pitcher_innings_per_start,away_pitcher_pitches_per_start,away_pitcher_last3_era,away_pitcher_last3_whip,away_pitcher_last3_k9,away_pitcher_days_since_last_start
2026-04-20,2026-04-20T22:45:00Z,822749,120,144,Washington Nationals,Atlanta Braves,16,0.4375,5.875,6.5,-0.625,1.1875,3.4375,7.875,0.7921874999999998,1.0625,6.211267605633803,1.6056338028169015,7.605633802816901,5.070422535211268,0.875,0.16666666666666666,-2.8333333333333335,0.6666666666666666,0.6,0.4,5.333333333333333,7.666666666666667,4.8,6.4,5.6,7.6,0.7706000000000001,0.6,2.4,5.8,6.545454545454546,1.5,14.333333333333334,83.66666666666667,10.046511627906977,7,0.0,9.0,0.0,0.736038134317553,0.34003190407202966,0.3960062302455234,53.22222222222222,11.777777777777779,17,0.5882352941176471,5.529411764705882,3.176470588235294,2.3529411764705883,1.2352941176470589,3.588235294117647,7.529411764705882,0.7937058823529411,0.47058823529411764,2.8609271523178808,1.0728476821192052,7.867549668874172,2.801324503311258,0.47058823529411764,0.5714285714285714,3.142857142857143,0.3333333333333333,0.6,0.5,5.666666666666667,5.666666666666667,7.2,4.8,5.3,4.0,0.7732,1.0,4.0,7.6,4.8,1.488888888888889,12.0,79.0,9.0,7,0.0,9.0,0.0,0.7967263120165913,0.34509883616629355,0.45162747585029767,65.66666666666667,14.777777777777779,3.0,7.071428571428571,1.5,10.285714285714286,5.142857142857143,4.666666666666667,92.66666666666667,7.071428571428571,1.5,10.285714285714286,10,3.0,1.0188679245283019,1.0188679245283019,8.150943396226415,2.547169811320755,5.888888888888889,82.66666666666667,1.0188679245283019,1.0188679245283019,8.150943396226415,10
2026-04-20,2026-04-20T22:40:00Z,822994,139,113,Tampa Bay Rays,Cincinnati Reds,15,0.5333333333333333,4.666666666666667,5.333333333333333,-0.6666666666666666,0.8,3.066666666666667,7.2,0.7485999999999999,1.0666666666666667,4.59,1.2225,8.1,3.3075,1.1333333333333333,0.6666666666666666,-0.8333333333333334,1.0,0.6,0.6,5.0,3.6666666666666665,3.8,5.2,4.2,5.0,0.7118,0.2,2.4,6.8,4.5,1.3478260869565217,12.333333333333334,63.666666666666664,5.108108108108108,8,0.0,9.0,0.0,0.7337216316472089,0.3364871685267453,0.3972344631204636,52.333333333333336,11.777777777777779,16,0.5625,3.375,4.375,-1.0,0.9375,4.3125,9.0625,0.6054375000000001,1.0,4.0344827586206895,1.4,8.006896551724138,4.841379310344828,0.4375,0.7142857142857143,0.0,0.3333333333333333,0.2,0.6,5.0,7.333333333333333,4.0,7.4,3.7,4.4,0.618,1.0,5.2,8.4,6.906976744186046,1.9069767441860466,14.666666666666666,87.0,3.6818181818181817,8,0.0,9.0,0.0,0.6327463978241238,0.3067402397410792,0.3260061580830445,53.333333333333336,12.222222222222221,,,,,,,,,,,,3.0,3.306122448979592,1.2244897959183674,6.061224489795919,3.306122448979592,5.444444444444444,87.66666666666667,3.306122448979592,1.2244897959183674,6.061224489795919,11
2026-04-20,2026-04-21T01:40:00Z,823149,136,133,Seattle Mariners,Athletics,17,0.47058823529411764,4.0588235294117645,3.411764705882353,0.6470588235294118,0.9411764705882353,4.470588235294118,9.470588235294118,0.6797058823529412,0.5294117647058824,2.947598253275109,1.0414847161572054,8.724890829694322,2.1812227074235806,0.47058823529411764,0.6363636363636364,1.4545454545454546,1.0,0.8,0.5,6.666666666666667,3.3333333333333335,5.8,3.8,4.2,3.4,0.622,1.0,5.8,8.2,3.477272727272727,1.2954545454545454,9.0,42.666666666666664,0.0,7,0.0,9.0,0.0,0.6889599781092443,0.3355566346701098,0.3534033434391344,61.44444444444444,14.88888888888889,16,0.5,4.0,4.5625,-0.5625,0.9375,3.125,10.125,0.597625,0.5625,4.436619718309859,1.4929577464788732,8.23943661971831,5.26056338028169,0.25,0.5,0.0,0.6666666666666666,0.8,0.7,4.333333333333333,4.666666666666667,3.6,2.8,4.7,4.6,0.6582,1.0,2.4,8.2,2.8,1.0222222222222221,10.333333333333334,54.666666666666664,4.354838709677419,7,0.0,9.0,0.0,0.6380447001299161,0.29323505487672263,0.34480964525319363,55.0,12.444444444444445,3.0,2.0377358490566038,0.7358490566037735,9.679245283018869,1.528301886792453,5.888888888888889,89.0,2.0377358490566038,0.7358490566037735,9.679245283018869,10,1.0,0.0,0.5,9.0,2.25,4.0,68.0,0.0,0.5,9.0,10
2026-04-20,2026-04-20T22:40:00Z,823879,146,138,Miami Marlins,St. Louis Cardinals,17,0.5294117647058824,4.705882352941177,4.352941176470588,0.35294117647058826,0.7647058823529411,3.176470588235294,7.529411764705882,0.7590588235294119,1.2941176470588236,3.865771812080537,1.2416107382550337,9.120805369127517,4.046979865771812,0.8823529411764706,0.7,2.0,0.3333333333333333,0.4,0.4,4.333333333333333,6.0,4.2,4.2,4.5,4.8,0.7369999999999999,0.6,3.0,7.6,4.071428571428571,1.4285714285714286,10.0,57.0,1.8,7,0.0,9.0,0.0,0.760809227425782,0.33518511347929975,0.42562411394648236,58.111111111111114,14.444444444444445,16,0.5,4.3125,5.5625,-1.25,1.0625,4.25,7.875,0.7075000000000001,0.5625,5.089655172413793,1.4896551724137932,6.020689655172414,4.096551724137931,0.5625,0.5,-0.6666666666666666,0.0,0.4,0.4,2.3333333333333335,8.333333333333334,3.2,5.6,4.0,6.1,0.6808,1.0,4.4,7.2,4.6,1.2222222222222223,13.0,76.0,6.230769230769231,7,0.0,9.0,0.0,0.6909851911020982,0.31642328169819706,0.3745619094039011,56.111111111111114,12.555555555555555,3.0,3.6818181818181817,1.3636363636363638,9.204545454545455,4.909090909090909,4.888888888888888,85.66666666666667,3.6818181818181817,1.3636363636363638,9.204545454545455,11,3.0,2.16,0.7799999999999999,5.4,1.08,5.555555555555556,87.33333333333333,2.16,0.7799999999999999,5.4,12
2026-04-20,2026-04-21T01:38:00Z,824046,108,141,Los Angeles Angels,Toronto Blue Jays,17,0.47058823529411764,4.882352941176471,5.176470588235294,-0.29411764705882354,1.2352941176470589,4.705882352941177,9.823529411764707,0.7188823529411763,0.4117647058823529,4.44,1.4866666666666666,9.18,5.58,0.8235294117647058,0.5,-1.1666666666666667,0.3333333333333333,0.4,0.5,7.333333333333333,8.0,6.8,6.8,5.2,5.3,0.6714,1.4,6.4,7.0,6.6976744186046515,1.697674418604651,12.666666666666666,95.0,10.657894736842104,7,0.0,9.0,0.0,0.7005918590405763,0.3335908799359092,0.3670009791046672,57.22222222222222,12.777777777777779,15,0.4,3.8,5.466666666666667,-1.6666666666666667,0.9333333333333333,3.533333333333333,6.933333333333334,0.7149333333333333,0.4666666666666667,4.741463414634146,1.302439024390244,11.06341463414634,3.55609756097561,0.7333333333333333,0.0,-2.3333333333333335,0.3333333333333333,0.4,0.2,5.333333333333333,6.333333333333333,4.2,5.2,3.1,5.6,0.6732,0.8,3.0,6.2,4.8,1.2444444444444445,15.333333333333334,66.66666666666667,0.0,8,0.0,9.0,1.0,0.6836918368504344,0.30995951204067895,0.37373232480975543,47.55555555555556,11.0,3.0,4.595744680851064,1.2765957446808511,9.76595744680851,3.4468085106382977,5.222222222222222,97.0,4.595744680851064,1.2765957446808511,9.76595744680851,12,3.0,2.4545454545454546,1.4318181818181819,15.954545454545455,5.5227272727272725,4.888888888888888,93.0,2.4545454545454546,1.4318181818181819,15.954545454545455,12
2026-04-20,2026-04-20T23:40:00Z,824125,118,110,Kansas City Royals,Baltimore Orioles,16,0.4375,3.375,4.0625,-0.6875,0.8125,3.75,8.5625,0.6411875,0.9375,3.9028436018957344,1.2938388625592419,9.085308056872037,4.030805687203792,0.375,0.5,0.3,0.6666666666666666,0.4,0.4,3.0,2.0,2.2,3.6,3.1,3.7,0.6678000000000001,0.4,3.0,8.6,3.477272727272727,1.1363636363636365,6.666666666666667,32.0,1.35,8,0.0,9.0,0.0,0.6587713560123666,0.31353936875545485,0.3452319872569118,55.111111111111114,13.11111111111111,16,0.5625,4.3125,4.125,0.1875,0.9375,4.0625,9.3125,0.6655000000000001,0.5,3.8207547169811322,1.3372641509433962,8.787735849056604,3.6297169811320753,0.625,0.5,-0.5,1.0,0.8,0.6,7.0,3.6666666666666665,5.8,4.0,4.3,3.9,0.7101999999999999,1.4,4.4,8.0,3.2,1.2666666666666666,10.666666666666666,49.333333333333336,3.375,7,0.0,9.0,0.0,0.7361727268358366,0.335447515729743,0.4007252111060936,52.333333333333336,11.666666666666666,3.0,1.528301886792453,1.0754716981132075,7.132075471698113,3.056603773584906,5.888888888888889,90.66666666666667,1.528301886792453,1.0754716981132075,7.132075471698113,11,3.0,5.2682926829268295,1.6829268292682928,11.195121951219512,5.926829268292683,4.555555555555555,86.66666666666667,5.2682926829268295,1.6829268292682928,11.195121951219512,12
2026-04-20,2026-04-21T00:40:00Z,824370,115,119,Colorado Rockies,Los Angeles Dodgers,16,0.375,4.0625,4.4375,-0.375,1.0,2.625,10.125,0.6319999999999998,1.0625,4.2665094339622645,1.3584905660377358,7.195754716981132,3.375,0.375,0.6666666666666666,1.1666666666666667,0.0,0.2,0.4,3.0,7.0,4.2,5.8,4.1,5.0,0.6874,1.0,3.6,10.0,5.037313432835821,1.5,13.333333333333334,82.33333333333333,7.425,8,0.0,9.0,0.0,0.7028869599305256,0.3073255508062458,0.39556140912427984,49.77777777777778,11.666666666666666,16,0.75,5.9375,3.5,2.4375,1.8125,4.1875,8.8125,0.8186249999999999,0.4375,3.3986013986013988,1.132867132867133,8.244755244755245,3.4615384615384617,0.3125,0.8333333333333334,4.666666666666667,0.6666666666666666,0.6,0.8,4.0,2.6666666666666665,4.6,3.8,7.2,3.9,0.8642,1.6,5.8,10.4,3.477272727272727,1.2045454545454546,9.0,47.333333333333336,2.0,7,0.0,9.0,0.0,0.7866190597922915,0.33775785540750325,0.44886120438478827,57.0,13.0,1.0,4.153846153846154,1.8461538461538463,4.153846153846154,8.307692307692308,4.333333333333333,78.0,4.153846153846154,1.8461538461538463,4.153846153846154,22,2.0,0.6923076923076923,0.6153846153846154,2.769230769230769,2.769230769230769,6.5,84.0,0.6923076923076923,0.6153846153846154,2.769230769230769,7
2026-04-20,2026-04-20T22:10:00Z,824450,114,117,Cleveland Guardians,Houston Astros,17,0.5882352941176471,3.9411764705882355,4.117647058823529,-0.17647058823529413,1.0,3.764705882352941,7.588235294117647,0.6632352941176469,0.8235294117647058,3.9865771812080535,1.2885906040268456,10.026845637583893,3.7449664429530203,0.29411764705882354,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6,0.6,5.333333333333333,5.333333333333333,6.2,5.8,4.5,4.1,0.6802,1.2,4.6,6.4,5.651162790697675,1.5813953488372092,9.666666666666666,62.666666666666664,5.586206896551724,7,0.0,9.0,0.0,0.7199608717554346,0.32235173265900874,0.3976091390964258,53.44444444444444,12.777777777777779,17,0.35294117647058826,5.588235294117647,6.294117647058823,-0.7058823529411765,1.1176470588235294,4.588235294117647,7.647058823529412,0.7742352941176471,0.5294117647058824,6.502293577981652,1.7064220183486238,9.722477064220184,6.006880733944954,0.29411764705882354,0.1,-2.5,0.0,0.0,0.1,3.3333333333333335,6.666666666666667,3.4,7.6,5.0,7.5,0.8224,0.6,2.6,7.0,8.479338842975206,2.0578512396694215,13.0,79.0,4.153846153846154,7,0.0,9.0,2.0,0.7900766238187358,0.3650115762729747,0.42506504754576113,53.77777777777778,11.333333333333334,3.0,5.74468085106383,1.2127659574468086,8.042553191489361,2.872340425531915,5.222222222222222,87.66666666666667,5.74468085106383,1.2127659574468086,8.042553191489361,10,0.0,,,,,,,,,,
2026-04-20,2026-04-20T23:40:00Z,824692,112,143,Chicago Cubs,Philadelphia Phillies,16,0.4375,4.5625,4.3125,0.25,1.0,4.8125,8.8125,0.6760000000000002,0.75,3.992957746478873,1.1901408450704225,8.556338028169014,3.4225352112676055,0.5,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4,0.4,5.666666666666667,7.666666666666667,4.6,5.4,4.3,4.5,0.6742000000000001,0.8,6.0,9.2,4.891304347826087,1.2608695652173914,12.666666666666666,72.33333333333333,2.1315789473684212,7,0.0,9.0,0.0,0.6940296586869062,0.3163709386707301,0.3776587200161761,58.22222222222222,12.88888888888889,16,0.5,4.125,4.75,-0.625,1.0625,3.5625,8.5625,0.6749375,0.625,4.3426573426573425,1.2937062937062938,10.321678321678322,2.4545454545454546,0.75,0.5,-0.3333333333333333,0.6666666666666666,0.4,0.5,6.666666666666667,4.666666666666667,4.8,4.8,4.3,4.0,0.6719999999999999,1.2,3.6,9.4,4.295454545454546,1.2954545454545454,14.0,85.66666666666667,4.5,7,0.0,9.0,0.0,0.7318217252191651,0.32931821895275815,0.40250350626640685,61.55555555555556,13.444444444444445,1.0,1.8,0.8,3.6,3.6,5.0,79.0,1.8,0.8,3.6,12,3.0,3.6346153846153846,1.0961538461538463,9.865384615384615,2.076923076923077,5.777777777777778,90.0,3.6346153846153846,1.0961538461538463,9.865384615384615,12
2026-04-20,2026-04-20T15:10:00Z,824776,111,116,Boston Red Sox,Detroit Tigers,16,0.375,4.25,4.6875,-0.4375,0.6875,3.5,8.8125,0.675625,0.375,4.392344497607655,1.3564593301435406,8.203349282296651,4.0047846889952154,0.875,0.5,0.6666666666666666,0.6666666666666666,0.6,0.5,7.333333333333333,5.666666666666667,5.8,4.0,5.1,4.3,0.6608,0.4,4.0,6.6,3.9767441860465116,1.255813953488372,11.666666666666666,53.666666666666664,3.085714285714286,7,0.0,9.0,0.0,0.6522741874728205,0.3059354548100861,0.3463387326627345,59.22222222222222,13.666666666666666,16,0.4375,4.375,3.75,0.625,0.75,3.75,8.75,0.6714375000000001,0.375,3.6576354679802954,1.3078817733990147,8.312807881773399,4.056650246305419,0.6875,0.2,-1.0,1.0,0.6,0.5,5.333333333333333,1.0,4.6,2.8,4.6,3.6,0.6822000000000001,1.0,2.6,6.8,2.9302325581395348,1.2093023255813953,8.666666666666666,41.333333333333336,1.0384615384615385,8,0.0,9.0,1.0,0.732298407275009,0.3335395485422424,0.39875885873276656,54.888888888888886,12.555555555555555,3.0,2.7551020408163267,0.979591836734694,5.510204081632653,1.653061224489796,5.444444444444444,85.66666666666667,2.7551020408163267,0.979591836734694,5.510204081632653,12,3.0,5.142857142857143,1.6428571428571428,9.0,7.071428571428571,4.666666666666667,88.0,5.142857142857143,1.6428571428571428,9.0,11
