official_date,game_datetime,game_pk,home_team_id,away_team_id,home_team_name,away_team_name,home_games_played,home_season_win_pct,home_season_runs_scored_avg,home_season_runs_allowed_avg,home_season_run_diff_avg,home_season_batting_home_runs_avg,home_season_batting_walks_avg,home_season_batting_strikeouts_avg,home_season_batting_ops_avg,home_season_stolen_bases_avg,home_season_pitching_era,home_season_pitching_whip,home_season_pitching_k9,home_season_pitching_bb9,home_season_errors_avg,home_venue_split_win_pct,home_venue_split_run_diff_avg,home_last3_win_pct,home_last5_win_pct,home_last10_win_pct,home_last3_runs_scored_avg,home_last3_runs_allowed_avg,home_last5_runs_scored_avg,home_last5_runs_allowed_avg,home_last10_runs_scored_avg,home_last10_runs_allowed_avg,home_last5_batting_ops_avg,home_last5_home_runs_avg,home_last5_walks_avg,home_last5_strikeouts_avg,home_last5_pitching_era,home_last5_pitching_whip,home_bullpen_last3_outs_avg,home_bullpen_last3_pitches_avg,home_bullpen_last3_era,home_days_since_last_game,away_games_played,away_season_win_pct,away_season_runs_scored_avg,away_season_runs_allowed_avg,away_season_run_diff_avg,away_season_batting_home_runs_avg,away_season_batting_walks_avg,away_season_batting_strikeouts_avg,away_season_batting_ops_avg,away_season_stolen_bases_avg,away_season_pitching_era,away_season_pitching_whip,away_season_pitching_k9,away_season_pitching_bb9,away_season_errors_avg,away_venue_split_win_pct,away_venue_split_run_diff_avg,away_last3_win_pct,away_last5_win_pct,away_last10_win_pct,away_last3_runs_scored_avg,away_last3_runs_allowed_avg,away_last5_runs_scored_avg,away_last5_runs_allowed_avg,away_last10_runs_scored_avg,away_last10_runs_allowed_avg,away_last5_batting_ops_avg,away_last5_home_runs_avg,away_last5_walks_avg,away_last5_strikeouts_avg,away_last5_pitching_era,away_last5_pitching_whip,away_bullpen_last3_outs_avg,away_bullpen_last3_pitches_avg,away_bullpen_last3_era,away_days_since_last_game,home_pitcher_starts,home_pitcher_era,home_pitcher_whip,home_pitcher_k9,home_pitcher_bb9,home_pitcher_innings_per_start,home_pitcher_pitches_per_start,home_pitcher_last3_era,home_pitcher_last3_whip,home_pitcher_last3_k9,home_pitcher_days_since_last_start,away_pitcher_starts,away_pitcher_era,away_pitcher_whip,away_pitcher_k9,away_pitcher_bb9,away_pitcher_innings_per_start,away_pitcher_pitches_per_start,away_pitcher_last3_era,away_pitcher_last3_whip,away_pitcher_last3_k9,away_pitcher_days_since_last_start
2026-04-15,2026-04-16T01:40:00Z,823314,135,136,San Diego Padres,Seattle Mariners,16,0.625,4.625,3.75,0.875,1.0,3.75,7.5,0.5850625,1.0,3.413793103448276,1.2137931034482758,9.372413793103448,3.103448275862069,0.375,0.6,0.9,1.0,1.0,0.8,7.0,3.0,7.2,2.8,5.5,3.4,0.6458,2.0,4.6,5.8,2.25,1.0,13.0,76.0,3.4615384615384617,3,17,0.47058823529411764,4.0588235294117645,3.411764705882353,0.6470588235294118,0.9411764705882353,4.470588235294118,9.470588235294118,0.6797058823529412,0.5294117647058824,2.947598253275109,1.0414847161572054,8.724890829694322,2.1812227074235806,0.47058823529411764,0.16666666666666666,-0.8333333333333334,1.0,0.8,0.5,6.666666666666667,3.3333333333333335,5.8,3.8,4.2,3.4,0.622,1.0,5.8,8.2,3.477272727272727,1.2954545454545454,9.0,42.666666666666664,0.0,2,3.0,1.0188679245283019,1.0754716981132075,9.679245283018869,2.0377358490566038,5.888888888888889,88.66666666666667,1.0188679245283019,1.0754716981132075,9.679245283018869,6,3.0,2.0377358490566038,0.7358490566037735,9.679245283018869,1.528301886792453,5.888888888888889,89.0,2.0377358490566038,0.7358490566037735,9.679245283018869,5
2026-04-15,2026-04-15T22:40:00Z,823399,134,120,Pittsburgh Pirates,Washington Nationals,16,0.625,5.125,3.9375,1.1875,1.125,4.375,9.25,0.718625,0.75,3.3440366972477062,1.348623853211009,9.660550458715596,4.644495412844036,0.5,0.7142857142857143,2.0,0.6666666666666666,0.6,0.7,8.666666666666666,5.0,6.0,4.6,5.3,3.7,0.7083999999999999,1.2,4.2,10.6,3.4964028776978417,1.4460431654676258,12.0,85.0,6.75,2,16,0.4375,5.875,6.5,-0.625,1.1875,3.4375,7.875,0.7921874999999998,1.0625,6.211267605633803,1.6056338028169015,7.605633802816901,5.070422535211268,0.875,0.6,0.7,0.6666666666666666,0.6,0.4,5.333333333333333,7.666666666666667,4.8,6.4,5.6,7.6,0.7706000000000001,0.6,2.4,5.8,6.545454545454546,1.5,14.333333333333334,83.66666666666667,10.046511627906977,2,0.0,,,,,,,,,,,3.0,7.071428571428571,1.5,10.285714285714286,5.142857142857143,4.666666666666667,92.66666666666667,7.071428571428571,1.5,10.285714285714286,5
2026-04-15,2026-04-15T22:40:00Z,823477,143,112,Philadelphia Phillies,Chicago Cubs,16,0.5,4.125,4.75,-0.625,1.0625,3.5625,8.5625,0.6749375,0.625,4.3426573426573425,1.2937062937062938,10.321678321678322,2.4545454545454546,0.75,0.5,-0.8,0.6666666666666666,0.4,0.5,6.666666666666667,4.666666666666667,4.8,4.8,4.3,4.0,0.6719999999999999,1.2,3.6,9.4,4.295454545454546,1.2954545454545454,14.0,85.66666666666667,4.5,2,16,0.4375,4.5625,4.3125,0.25,1.0,4.8125,8.8125,0.6760000000000002,0.75,3.992957746478873,1.1901408450704225,8.556338028169014,3.4225352112676055,0.5,0.42857142857142855,0.0,0.3333333333333333,0.4,0.4,5.666666666666667,7.666666666666667,4.6,5.4,4.3,4.5,0.6742000000000001,0.8,6.0,9.2,4.891304347826087,1.2608695652173914,12.666666666666666,72.33333333333333,2.1315789473684212,2,3.0,6.230769230769231,1.153846153846154,13.5,2.076923076923077,5.777777777777778,94.66666666666667,6.230769230769231,1.153846153846154,13.5,5,3.0,2.8125,0.8125,11.25,2.25,5.333333333333333,91.33333333333333,2.8125,0.8125,11.25,5
2026-04-15,2026-04-15T23:05:00Z,823561,147,108,New York Yankees,Los Angeles Angels,16,0.5625,4.75,3.375,1.375,1.1875,4.875,9.625,0.680125,1.3125,2.9858823529411764,1.143529411764706,9.148235294117647,2.4776470588235293,0.5625,0.5714285714285714,1.1428571428571428,0.3333333333333333,0.2,0.4,6.333333333333333,6.666666666666667,4.4,5.2,5.2,4.8,0.6614,1.6,4.2,8.8,4.153846153846154,1.3615384615384614,9.666666666666666,55.333333333333336,8.379310344827585,2,17,0.47058823529411764,4.882352941176471,5.176470588235294,-0.29411764705882354,1.2352941176470589,4.705882352941177,9.823529411764707,0.7188823529411763,0.4117647058823529,4.44,1.4866666666666666,9.18,5.58,0.8235294117647058,0.45454545454545453,0.18181818181818182,0.3333333333333333,0.4,0.5,7.333333333333333,8.0,6.8,6.8,5.2,5.3,0.6714,1.4,6.4,7.0,6.6976744186046515,1.697674418604651,12.666666666666666,95.0,10.657894736842104,2,1.0,6.75,1.5,4.5,6.75,4.0,88.0,6.75,1.5,4.5,5,3.0,3.24,1.26,6.48,5.94,5.555555555555556,91.66666666666667,3.24,1.26,6.48,5
2026-04-15,2026-04-15T23:40:00Z,823803,158,141,Milwaukee Brewers,Toronto Blue Jays,15,0.5333333333333333,5.333333333333333,4.266666666666667,1.0666666666666667,1.0666666666666667,5.0,8.466666666666667,0.8395333333333334,1.6,4.159090909090909,1.378787878787879,9.681818181818182,4.295454545454546,0.4,0.5555555555555556,2.2222222222222223,0.0,0.0,0.4,3.3333333333333335,6.0,2.4,5.2,4.3,4.9,0.742,1.2,3.8,6.8,5.232558139534884,1.4883720930232558,14.333333333333334,83.33333333333333,7.534883720930233,3,15,0.4,3.8,5.466666666666667,-1.6666666666666667,0.9333333333333333,3.533333333333333,6.933333333333334,0.7149333333333333,0.4666666666666667,4.741463414634146,1.302439024390244,11.06341463414634,3.55609756097561,0.7333333333333333,0.0,-2.3333333333333335,0.3333333333333333,0.4,0.2,5.333333333333333,6.333333333333333,4.2,5.2,3.1,5.6,0.6732,0.8,3.0,6.2,4.8,1.2444444444444445,15.333333333333334,66.66666666666667,0.0,3,2.0,0.9642857142857143,1.3928571428571428,6.75,3.857142857142857,4.666666666666667,80.0,0.9642857142857143,1.3928571428571428,6.75,11,3.0,2.4545454545454546,1.4318181818181819,15.954545454545455,5.5227272727272725,4.888888888888888,93.0,2.4545454545454546,1.4318181818181819,15.954545454545455,7
2026-04-15,2026-04-16T02:10:00Z,823963,119,121,Los Angeles Dodgers,New York Mets,16,0.75,5.9375,3.5,2.4375,1.8125,4.1875,8.8125,0.8186249999999999,0.4375,3.3986013986013988,1.132867132867133,8.244755244755245,3.4615384615384617,0.3125,0.7,1.1,0.6666666666666666,0.6,0.8,4.0,2.6666666666666665,4.6,3.8,7.2,3.9,0.8642,1.6,5.8,10.4,3.477272727272727,1.2045454545454546,9.0,47.333333333333336,2.0,2,17,0.4117647058823529,3.6470588235294117,4.0588235294117645,-0.4117647058823529,0.7647058823529411,3.235294117647059,7.705882352941177,0.7161764705882352,0.5882352941176471,3.6423982869379015,1.2591006423982871,9.019271948608138,3.411134903640257,0.47058823529411764,0.5,1.0,0.0,0.0,0.4,2.0,5.333333333333333,1.4,5.4,3.7,4.2,0.6643999999999999,0.8,1.6,6.6,5.5227272727272725,1.4090909090909092,12.666666666666666,69.0,2.8421052631578947,2,2.0,0.0,0.75,6.0,3.0,6.0,91.5,0.0,0.75,6.0,7,3.0,1.5,1.1111111111111112,6.0,4.0,6.0,87.0,1.5,1.1111111111111112,6.0,5
2026-04-15,2026-04-16T00:10:00Z,824209,117,115,Houston Astros,Colorado Rockies,17,0.35294117647058826,5.588235294117647,6.294117647058823,-0.7058823529411765,1.1176470588235294,4.588235294117647,7.647058823529412,0.7742352941176471,0.5294117647058824,6.502293577981652,1.7064220183486238,9.722477064220184,6.006880733944954,0.29411764705882354,0.7142857142857143,1.8571428571428572,0.0,0.0,0.1,3.3333333333333335,6.666666666666667,3.4,7.6,5.0,7.5,0.8224,0.6,2.6,7.0,8.479338842975206,2.0578512396694215,13.0,79.0,4.153846153846154,2,16,0.375,4.0625,4.4375,-0.375,1.0,2.625,10.125,0.6319999999999998,1.0625,4.2665094339622645,1.3584905660377358,7.195754716981132,3.375,0.375,0.2,-1.3,0.0,0.2,0.4,3.0,7.0,4.2,5.8,4.1,5.0,0.6874,1.0,3.6,10.0,5.037313432835821,1.5,13.333333333333334,82.33333333333333,7.425,3,0.0,,,,,,,,,,,1.0,4.153846153846154,1.8461538461538463,4.153846153846154,8.307692307692308,4.333333333333333,78.0,4.153846153846154,1.8461538461538463,4.153846153846154,17
2026-04-15,2026-04-15T22:40:00Z,824291,116,118,Detroit Tigers,Kansas City Royals,16,0.4375,4.375,3.75,0.625,0.75,3.75,8.75,0.6714375000000001,0.375,3.6576354679802954,1.3078817733990147,8.312807881773399,4.056650246305419,0.6875,0.8333333333333334,3.3333333333333335,1.0,0.6,0.5,5.333333333333333,1.0,4.6,2.8,4.6,3.6,0.6822000000000001,1.0,2.6,6.8,2.9302325581395348,1.2093023255813953,8.666666666666666,41.333333333333336,1.0384615384615385,3,16,0.4375,3.375,4.0625,-0.6875,0.8125,3.75,8.5625,0.6411875,0.9375,3.9028436018957344,1.2938388625592419,9.085308056872037,4.030805687203792,0.375,0.3333333333333333,-2.3333333333333335,0.6666666666666666,0.4,0.4,3.0,2.0,2.2,3.6,3.1,3.7,0.6678000000000001,0.4,3.0,8.6,3.477272727272727,1.1363636363636365,6.666666666666667,32.0,1.35,3,3.0,5.142857142857143,1.6428571428571428,9.0,7.071428571428571,4.666666666666667,88.0,5.142857142857143,1.6428571428571428,9.0,6,3.0,1.528301886792453,1.0754716981132075,7.132075471698113,3.056603773584906,5.888888888888889,90.66666666666667,1.528301886792453,1.0754716981132075,7.132075471698113,6
2026-04-15,2026-04-15T22:40:00Z,824532,113,137,Cincinnati Reds,San Francisco Giants,16,0.5625,3.375,4.375,-1.0,0.9375,4.3125,9.0625,0.6054375000000001,1.0,4.0344827586206895,1.4,8.006896551724138,4.841379310344828,0.4375,0.4444444444444444,-1.7777777777777777,0.3333333333333333,0.2,0.6,5.0,7.333333333333333,4.0,7.4,3.7,4.4,0.618,1.0,5.2,8.4,6.906976744186046,1.9069767441860466,14.666666666666666,87.0,3.6818181818181817,3,16,0.375,3.1875,4.5,-1.3125,0.5,2.0625,7.6875,0.5356875000000001,0.3125,4.276595744680851,1.3900709219858156,8.872340425531915,3.893617021276596,0.625,0.5,-0.6666666666666666,0.3333333333333333,0.6,0.4,3.3333333333333335,5.0,4.2,3.0,3.7,4.7,0.6334000000000001,0.8,1.2,6.6,3.13953488372093,1.3488372093023255,8.333333333333334,58.0,6.48,3,3.0,3.306122448979592,1.2244897959183674,6.061224489795919,3.306122448979592,5.444444444444444,87.66666666666667,3.306122448979592,1.2244897959183674,6.061224489795919,6,3.0,4.295454545454546,1.5681818181818183,9.204545454545455,4.295454545454546,4.888888888888888,88.33333333333333,4.295454545454546,1.5681818181818183,9.204545454545455,7
2026-04-15,2026-04-15T23:40:00Z,824615,145,139,Chicago White Sox,Tampa Bay Rays,16,0.375,3.0625,4.9375,-1.875,0.75,3.375,10.0,0.628875,0.8125,4.695652173913044,1.4202898550724639,8.152173913043478,4.434782608695652,0.6875,0.5,0.3333333333333333,0.3333333333333333,0.4,0.5,2.0,3.0,2.2,2.8,2.8,2.7,0.5904,0.4,3.6,9.0,2.7209302325581395,1.069767441860465,11.0,58.0,4.909090909090909,3,15,0.5333333333333333,4.666666666666667,5.333333333333333,-0.6666666666666666,0.8,3.066666666666667,7.2,0.7485999999999999,1.0666666666666667,4.59,1.2225,8.1,3.3075,1.1333333333333333,0.4444444444444444,-0.5555555555555556,1.0,0.6,0.6,5.0,3.6666666666666665,3.8,5.2,4.2,5.0,0.7118,0.2,2.4,6.8,4.5,1.3478260869565217,12.333333333333334,63.666666666666664,5.108108108108108,3,2.0,5.0,1.3333333333333333,8.0,3.0,4.5,91.5,5.0,1.3333333333333333,8.0,7,0.0,,,,,,,,,,
